27.01.2020 00:03:44: 20h 32min | Jbo Marino[201](76561198206026112) | spawning Tractor (C_Tractor_01_F)
27.01.2020 07:23:13: 3h 47min | [1k-40] Jose Santana(76561198206026112) | God Mode - 1
27.01.2020 07:23:33: 3h 48min | [1k-40] Jose Santana(76561198206026112) | Revive - cop_2(76561198180893505)
27.01.2020 07:23:43: 3h 48min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 07:24:23: 3h 49min | [1k-40] Jose Santana(76561198206026112) | Teleport to [5452.88,2595.65,0](GPS: 054995)
27.01.2020 07:24:32: 3h 49min | [1k-40] Jose Santana(76561198206026112) | Teleport - Target To Me - Rick Cheney [CIV](76561198860031547)
27.01.2020 07:24:34: 3h 49min | [1k-40] Jose Santana(76561198206026112) | Teleport - Target To Me - Zander Marino [WEST](76561198180893505)
27.01.2020 07:24:36: 3h 49min | [1k-40] Jose Santana(76561198206026112) | Teleport - Target To Me - Zander Marino [WEST](76561198180893505)
27.01.2020 07:32:07: 3h 56min | [1k-40] Jose Santana(76561198206026112) | Revive - cop_2(76561198180893505)
27.01.2020 07:35:04: 3h 59min | [1k-40] Jose Santana(76561198206026112) | Revive - cop_2(76561198180893505)
27.01.2020 07:35:47: 3h 60min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 07:53:42: 4h 18min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 07:54:51: 4h 19min | [1k-40] Jose Santana(76561198206026112) | Heal - civ_2(76561198860031547)
27.01.2020 07:56:22: 4h 21min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 07:57:04: 4h 21min | [1k-40] Jose Santana(76561198206026112) | Revive - cop_2(76561198180893505)
27.01.2020 07:57:43: 4h 22min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 07:58:40: 4h 23min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 07:58:45: 4h 23min | [1k-40] Jose Santana(76561198206026112) | Revive - cop_2(76561198180893505)
27.01.2020 07:59:06: 4h 23min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 07:59:33: 4h 24min | [1k-40] Jose Santana(76561198206026112) | Revive - cop_2(76561198180893505)
27.01.2020 08:00:00: 4h 24min | [1k-40] Jose Santana(76561198206026112) | Teleport to [4941.37,1895.2,0](GPS: 049988)
27.01.2020 08:00:14: 4h 24min | [1k-40] Jose Santana(76561198206026112) | Teleport to [5448.28,2448.19,0](GPS: 054993)
27.01.2020 08:00:20: 4h 25min | [1k-40] Jose Santana(76561198206026112) | unlocked - [d3s_crown_98_PD]
27.01.2020 08:00:33: 4h 25min | [1k-40] Jose Santana(76561198206026112) | Teleport to [3573.44,3184.91,0](GPS: 035001)
27.01.2020 08:01:10: 4h 25min | [1k-40] Jose Santana(76561198206026112) | locked - [d3s_crown_98_PD]
27.01.2020 08:02:14: 4h 26min | [1k-40] Jose Santana(76561198206026112) | Revive - cop_2(76561198180893505)
27.01.2020 08:03:08: 4h 27min | [1k-40] Jose Santana(76561198206026112) | Teleport to [3619.52,3230.99,0](GPS: 036001)
27.01.2020 08:03:46: 4h 28min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 08:04:28: 4h 29min | [1k-40] Jose Santana(76561198206026112) | Revive - cop_2(76561198180893505)
27.01.2020 08:05:58: 4h 30min | [1k-40] Jose Santana(76561198206026112) | Revive - cop_2(76561198180893505)
27.01.2020 23:29:11: 2h 55min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @038001..
27.01.2020 23:29:37: 2h 56min | Donnie Turbo(76561198041233395) | spawning Kozlice 12G (Sawed-Off) (sgun_HunterShotgun_01_sawedoff_F)
27.01.2020 23:30:19: 2h 56min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
27.01.2020 23:30:35: 2h 57min | Donnie Turbo(76561198041233395) | spawning Axe (Max_axe)
27.01.2020 23:38:18: 3h 4min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
27.01.2020 23:48:45: 3h 15min | Donnie Turbo(76561198041233395) | noRecoil - 1
27.01.2020 23:53:24: 3h 20min | Donnie Turbo(76561198041233395) | UnlimAmmo - 0
27.01.2020 23:53:25: 3h 20min | Donnie Turbo(76561198041233395) | noRecoil - 0
27.01.2020 23:54:07: 3h 20min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
27.01.2020 23:57:04: 3h 23min | Donnie Turbo(76561198041233395) | Added 10 boltcutters to Donnie Turbo!
27.01.2020 23:58:38: 3h 25min | Boyevik Butch-Mac Volkev(76561198089960350) | infiSTAR MapIcons - 1
27.01.2020 23:59:20: 3h 25min | Boyevik Butch-Mac Volkev(76561198089960350) | Stealth / Invisible - 1
27.01.2020 23:59:23: 3h 26min | Boyevik Butch-Mac Volkev(76561198089960350) | God Mode - 1
27.01.2020 23:59:24: 3h 26min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3813.06,3142.4,0](GPS: 038000)
